model,params [K],jevois_latency [ms],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,model_info
model_0836,4.466,11,261.36,857.3,84.59,0.49,"[101, 211, 203, 338, 205, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0837,9,33,1356.53,719.12,87.31,0.51,"[182, 158, 275, 13, 30, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0838,18.154,7,53.79,145.86,82.91,0.81,"[11, 63, 118, 141, 160, 382]","{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0839,9.154,5,96.09,158.76,83.13,0.8,"[60, 173, 336, 337, 56, 382]","{""0"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0840,1.624,3,65.85,141.12,80.46,0.51,"[209, 117, 345, 283, 77, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0841,1275.241,122,65.85,3175.2,93.48,0.71,"[193, 148, 75, 196, 158, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0842,0.72,3,49.05,241.94,85.09,0.51,"[338, 202, 7, 307, 236, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0843,4.074,3,35.25,580.74,79.15,0.76,"[142, 23, 192, 64, 279, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0844,3.538,30,269.62,524.29,84.59,0.51,"[37, 303, 11, 273, 351, 382]","{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0845,33.008,4,41.06,172.03,96.33,0.51,"[185, 1, 200, 255, 40, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0846,5.354,45,414.57,830.81,88.28,0.51,"[73, 231, 202, 58, 26, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0847,0.272,1,19.85,54.7,82.18,0.51,"[263, 381, 17, 264, 285, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""dropout"", 0.2], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0848,91.666,54,372.9,3276.8,86.95,0.51,"[145, 24, 74, 266, 100, 382]","{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0849,4.544,19,7.43,109.92,84.8,0.79,"[291, 146, 186, 82, 324, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0850,16.994,9,340.11,729.32,83.04,0.83,"[179, 92, 174, 27, 198, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0851,27.65,8,161.02,725.92,83.35,0.75,"[177, 296, 176, 305, 144, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0852,8.266,49,1202.61,391.18,86.87,0.83,"[63, 14, 104, 233, 60, 382]","{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0853,9.632,12,85.64,285.77,87.92,0.51,"[280, 29, 237, 91, 110, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0854,9.338,8,82.72,583.46,79.88,0.51,"[120, 291, 193, 210, 106, 382]","{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0855,1.527,2,17.49,61.44,82.76,0.51,"[234, 359, 149, 308, 319, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0856,1.564,2,30.23,110.59,83.54,0.49,"[247, 201, 277, 312, 143, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0857,2.399,3,43.82,91.73,96.61,0.83,"[286, 304, 162, 223, 82, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0858,4.034,21,706.38,485.4,88.53,0.74,"[86, 284, 210, 233, 188, 382]","{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0859,14.682,23,237.1,260.1,86.42,0.72,"[28, 194, 57, 191, 133, 382]","{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0860,1.424,4,73.06,110.59,86.48,0.51,"[232, 257, 354, 266, 259, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0861,89.058,46,3593.91,1290.4,87.2,0.8,"[160, 296, 122, 331, 147, 382]","{""0"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0862,23.234,19,129.68,121.12,84.21,0.81,"[94, 135, 174, 89, 273, 382]","{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0863,283.273,9,122.75,158.76,83.5,0.51,"[274, 49, 148, 293, 367, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Dense"", 16, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0864,19.154,3,23.87,145.86,82.43,0.8,"[36, 354, 161, 174, 52, 382]","{""0"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0865,3.101,2,16.47,245.76,83.68,0.49,"[218, 202, 293, 95, 95, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0866,2.912,2,42.61,97.02,82.89,0.49,"[286, 162, 259, 342, 325, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0867,16.288,5,19.28,61.06,81.5,0.79,"[354, 35, 170, 144, 77, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0868,12.69,54,326.76,1474.56,84.07,0.51,"[145, 355, 142, 346, 202, 382]","{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0869,1,3,27.97,110.59,95.28,0.49,"[259, 5, 360, 235, 16, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0870,6.529,8,90.96,98.3,88.41,0.81,"[232, 116, 41, 92, 4, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0871,8.29,50,945.95,1097.73,87.53,0.51,"[123, 32, 347, 276, 145, 382]","{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0872,15.463,2,13.33,61.44,83.19,0.74,"[224, 346, 161, 179, 318, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0873,4.272,6,67.33,327.68,84.15,0.7,"[184, 43, 18, 381, 354, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""dropout"", 0.2], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0874,87.746,71,118.69,324,89.69,0.51,"[39, 352, 151, 170, 353, 382]","{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0875,0.737,3,18.59,122.88,82.77,0.64,"[235, 78, 310, 263, 2, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0876,17.038,34,77.12,705.6,92.58,0.51,"[207, 350, 73, 154, 202, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0877,27.922,8,143.05,204.8,83.74,0.81,"[150, 342, 168, 169, 339, 382]","{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0878,6.402,15,420.18,376.83,84.89,0.51,"[164, 195, 182, 216, 336, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0879,11.146,54,929.61,565.28,87.55,0.82,"[122, 75, 250, 249, 218, 382]","{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0880,1.205,1,12.21,54.7,82.26,0.49,"[345, 350, 261, 103, 226, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0881,21.072,8,19.26,437.59,98.79,0.74,"[289, 84, 176, 144, 203, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0882,16.072,4,78.99,54.7,84.92,0.51,"[203, 301, 4, 163, 144, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0883,4.002,39,174.95,729.32,88.5,0.51,"[172, 335, 315, 311, 347, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
