model,params [K],accuracy,token_sequence,model_info
model_0188,7.369,0.49,"[193, 25, 239, 185, 291, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0189,4.544,0.77,"[220, 116, 53, 209, 31, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0190,1.334,0.51,"[292, 299, 113, 21, 262, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0191,10.162,0.78,"[139, 97, 252, 307, 283, 382]","{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0192,7.49,0.86,"[170, 58, 288, 64, 245, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0193,2.114,0.76,"[144, 273, 357, 198, 244, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0194,4.832,0.49,"[349, 127, 329, 17, 78, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0195,12.248,0.55,"[342, 341, 130, 197, 178, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0196,0.524,0.73,"[199, 283, 246, 302, 11, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0197,1010.426,0.88,"[281, 222, 170, 373, 380, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Dense"", 28, ""sigmoid""], ""4"": [""Dense"", 40, ""relu""], ""5"": [2, ""softmax""]}"
model_0198,6.896,0.51,"[224, 99, 274, 327, 355, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0199,10.146,0.81,"[42, 229, 234, 24, 170, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0200,34.434,0.51,"[237, 317, 301, 373, 371, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Dense"", 28, ""sigmoid""], ""4"": [""Dense"", 24, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0201,11.592,0.8,"[245, 82, 305, 132, 367, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Dense"", 16, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0202,6.025,0.85,"[236, 156, 73, 287, 61, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0203,3.919,0.51,"[260, 269, 173, 58, 11, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0204,27.465,0.49,"[340, 77, 151, 206, 139, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0205,0.415,0.73,"[269, 260, 82, 11, 357, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0206,2.433,0.81,"[343, 60, 110, 354, 252, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0207,32.25,0.85,"[99, 158, 351, 344, 96, 382]","{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0208,1.165,0.51,"[188, 183, 197, 5, 211, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0209,8.114,0.8,"[79, 71, 328, 42, 49, 382]","{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0210,9.488,0.51,"[224, 41, 14, 134, 204, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0211,2.864,0.51,"[332, 139, 2, 214, 327, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0212,2.682,0.76,"[20, 224, 47, 309, 126, 382]","{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0213,0.422,0.51,"[246, 321, 243, 206, 333, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0214,5.906,0.82,"[32, 47, 138, 350, 357, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0215,14.962,0.51,"[178, 339, 35, 106, 170, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0216,0.233,0.49,"[265, 187, 238, 209, 306, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0217,2.042,0.49,"[30, 246, 194, 322, 255, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0218,1.784,0.73,"[250, 107, 210, 74, 299, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0219,1.373,0.74,"[245, 298, 200, 163, 224, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0220,1320.288,0.51,"[331, 109, 139, 184, 380, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""Dense"", 40, ""relu""], ""5"": [2, ""softmax""]}"
model_0221,2.158,0.73,"[220, 312, 237, 156, 153, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0222,46.883,0.51,"[356, 267, 217, 205, 104, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0223,9.218,0.51,"[168, 292, 221, 66, 28, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0224,7.978,0.51,"[117, 269, 197, 345, 100, 382]","{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0225,3.633,0.8,"[270, 48, 110, 19, 304, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0226,3.55,0.67,"[312, 325, 229, 10, 102, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0227,32.282,0.51,"[3, 51, 64, 34, 220, 382]","{""0"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0228,1.498,0.52,"[9, 212, 308, 91, 269, 382]","{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0229,24.314,0.77,"[137, 148, 345, 175, 127, 382]","{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0230,10.912,0.51,"[222, 124, 357, 341, 98, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0231,1.148,0.51,"[240, 360, 346, 187, 377, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 36, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0232,5.17,0.75,"[128, 360, 153, 56, 22, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0233,4.152,0.79,"[328, 33, 164, 354, 198, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0234,132.586,0.78,"[38, 147, 38, 196, 331, 382]","{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0235,88.237,0.51,"[231, 359, 325, 124, 85, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0236,15.992,0.82,"[294, 95, 146, 236, 99, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0237,5.322,0.83,"[158, 274, 227, 2, 126, 382]","{""0"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0238,26.714,0.79,"[177, 267, 98, 254, 153, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
